task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	label_kvox	thr_label_kept	pos_label_kept	brain_label_kept	brain_outside_pos	pos_dropped
task5	t1	sub_24	2976.6100	7416	4056.7450	8891	1659.9280	4030					0.0032	0.5921
task5	t1	sub_25	3281.4820	8625	4711.3470	10635	1917.7410	4669					0.0000	0.5930
task5	t1	sub_26	3843.6790	10752	9293.6240	18720	1336.8450	3338					0.0000	0.8562
task5	t1	sub_27	3833.9550	11527	8170.5630	17472	1395.3580	3480					0.0000	0.8292
task5	t1	sub_28	4436.1610	12139	9276.4150	18720	1567.7190	3885					0.0000	0.8310
task5	t1	sub_29	4285.9190	11699	9071.9250	18601	1670.5770	4120					0.0000	0.8159
task5	t1	sub_30	4311.4830	12436	9224.9600	18716	1782.9650	4381					0.0000	0.8067
task5	t1	sub_31	2961.3000	7526	4875.6530	11473	1550.6190	3858					0.0000	0.6820
task5	t1	sub_32	2442.2440	6564	3822.8150	8965	1110.1480	2815					0.0000	0.7096
task5	t1	sub_33	3308.6060	8547	4709.4650	10508	1556.4690	3839					0.0000	0.6695
task5	t1	sub_34	3313.2780	9034	6658.7140	13728	1315.2550	3293					0.0000	0.8025
task5	t1	sub_35	4259.8940	11970	9288.5320	18720	1596.5500	3929					0.0000	0.8281
task5	t1	sub_36	3651.3730	9840	5741.4130	12846	2194.4140	5324					0.0000	0.6178
task5	t1	sub_37	4244.8450	11794	9301.2710	18720	1738.5150	4290					0.0000	0.8131
task5	t1	sub_38	4528.7020	12959	9303.6670	18720	1749.2530	4285					0.0000	0.8120
task5	t1	sub_39	3227.5750	8151	4550.0400	9985	1452.5440	3605					0.0000	0.6808
task5	t1	sub_40	2177.7710	5554	2851.8000	6897	1065.0450	2733					0.0009	0.6269
task5	t1	sub_41	2565.8180	6744	4044.9760	9729	1594.2510	3963					0.0000	0.6059
task5	t1	sub_42	2977.2180	8019	4935.5730	11414	1689.3400	4553					0.0000	0.6577
task5	t1	sub_43	3345.0970	8613	7436.3720	14976	1278.2710	3215					0.0000	0.8281
task5	t1	sub_44	2630.8550	6500	4960.0390	10550	1320.3860	3283					0.0000	0.7338
task5	t1	sub_45	2839.3010	7253	3906.2450	8933	1666.1610	4101					0.0000	0.5735
task5	t1	sub_46	2992.5010	7858	4215.9430	9646	1461.3970	3658					0.0000	0.6534
task5	t1	sub_47	2907.6760	7368	4495.1790	10088	1564.5820	3877					0.0000	0.6519
task5	t1	sub_48	3734.8990	10497	8169.3110	17472	1554.0240	3857					0.0000	0.8098
